input,target
Ulster County suffered substantial impacts [WORD_GAP] with lar_e trees being uprooted and striking homes .,"Ulster County suffered substantial impacts , with large trees being uprooted and striking homes ."
"On the North Fork of Long Island , in So_thold , a seaside home part_ally collapsed into the water .","On the North Fork of Long Island , in Southold , a seaside home partially collapsed into the water ."
"In Co_necticut , the st_rm was described as being more significant than anticipated .","In Connecticut , the storm was described as being more significant than anticipated ."
"[WORD_GAP] [WORD_GAP] tree limbs , and [WORD_GAP] lines were downed , causing damage [WORD_GAP] property and vehicles .","Trees , tree limbs , and power lines were downed , causing damage to property and vehicles ."
"As a result , electric companies sou_ht [WORD_GAP] from as far as Pennsylvania and Maine to restore electr_city .","As a result , electric companies sought help from as far as Pennsylvania and Maine to restore electricity ."
"Bruno Ranniello , a spokesman [LINE_GAP] reported that "" We 've had outages in virtually every community .","Bruno Ranniello , a spokesman for Northeast Utilities , reported that "" We 've had outages in virtually every community ."
""" In New Haven , the nor '_aster ripped three barges from their moo_ings .",""" In New Haven , the nor 'easter ripped three barges from their moorings ."
"One [WORD_GAP] [WORD_GAP] barges [WORD_GAP] acr_ss the Long Island Sound and ran aground near Port Jefferson , New Yo_k .","One of the barges traveled across the Long Island Sound and ran aground near Port Jefferson , New York ."
Effects were less [LINE_GAP] Hampshire and Vermont .,Effects were less severe in New Hampshire and Vermont .
"In southern New Hampshire , a line of thunderstorms produced torrential rainfall , causing [LINE_GAP] parts of New Hampshire Route 13 .","In southern New Hampshire , a line of thunderstorms produced torrential rainfall , causing flooding on parts of New Hampshire Route 13 ."
Flash flooding of several tributaries feeding into the Piscataquog R_ver was [WORD_GAP] .,Flash flooding of several tributaries feeding into the Piscataquog River was reported .
"[WORD_GAP] Maine , the [WORD_GAP] [WORD_GAP] high winds and [WORD_GAP] rain .","In Maine , the storm brought high winds and heavy rain ."
"[WORD_GAP] the coast of southern Maine and New Hampshire , beach erosion was reported .","Along the coast of southern Maine and New Hampshire , beach erosion was reported ."
"Additionally , minor [LINE_GAP] the region , as a result of heavy surface runoff and small ice jams .","Additionally , minor flooding was reported across the region , as a result of heavy surface runoff and small ice jams ."
"[LINE_GAP] , the power outages were the worst since Hurricane Bob of the 1991 Atlantic hurricane season .","In Rhode Island , the power outages were the worst since Hurricane Bob of the 1991 Atlantic hurricane season ."
"[WORD_GAP] with Massachusetts , downed trees and property damage were widespread .","As with Massachusetts , downed trees and property damage were widespread ."
There were many reports of roof shingles being blown [LINE_GAP] damage to gutters .,There were many reports of roof shingles being blown off roofs and of damage to gutters .
"In Warwick , several small boats were damaged after being knocked into other boats .","In Warwick , several small boats were damaged after being knocked into other boats ."
Statewide damage totaled [LINE_GAP] 5 million .,Statewide damage totaled about $ 5 million .
"Massachusetts , [WORD_GAP] Cape Cod and Nantucket , bore the [WORD_GAP] of the nor [WORD__AP] .","Massachusetts , particularly Cape Cod and Nantucket , bore the brunt of the nor 'easter ."
Power was [WORD_GAP] for some as long as 48 [WORD_GAP] .,Power was out for some as long as 48 hours .
"Property damage was widespread and many trees , [LINE_GAP] billboards were blown down .","Property damage was widespread and many trees , signs , and billboards were blown down ."
A large tent used by the New England Patriots was ri_ped and blown off its foundation .,A large tent used by the New England Patriots was ripped and blown off its foundation .
The winds also spread a deadly house fire in North Attleboro .,The winds also spread a deadly house fire in North Attleboro .
"Although [WORD_GAP] [WORD_GAP] related to the storm , [WORD_GAP] caused seven fatalities .","Although not directly related to the storm , it caused seven fatalities ."
"[WORD_GAP] [WORD_GAP] [WORD_GAP] low , little coastal flood_ng occurred .","Because tides were low , little coastal flooding occurred ."
Total damage in Massachusetts was estimated [WORD_GAP] about $ 5 [WORD_GAP] .,Total damage in Massachusetts was estimated at about $ 5 million .
"Hema Malini and Jaya Bhaduri also st_r , as Veeru and Jai 's love interests .","Hema Malini and Jaya Bhaduri also star , as Veeru and Jai 's love interests ."
Sho_ay is [WORD_GAP] a classic and one of the best Indian films .,Sholay is considered a classic and one of the best Indian films .
"It was ranked [LINE_GAP] Film Institute 's 2002 poll of "" Top 10 Indian Films "" of all time .","It was ranked first in the British Film Institute 's 2002 poll of "" Top 10 Indian Films "" of all time ."
"In 2005 , the judg_s of the 50th annual Filmfare Awar_s named it the Best Film of 50 Years .","In 2005 , the judges of the 50th annual Filmfare Awards named it the Best Film of 50 Years ."
"[WORD_GAP] film was shot in the r_cky terrain of Ramanagara [WORD_GAP] in the southern state of Karnataka , over a span [WORD_GAP] two and a half years [WORD_GAP]","The film was shot in the rocky terrain of Ramanagara , in the southern state of Karnataka , over a span of two and a half years ."
"After the Central Board of Film Certificat_on man_ated the removal of several violent scenes , Sholay was released with a length of 198 minutes .","After the Central Board of Film Certification mandated the removal of several violent scenes , Sholay was released with a length of 198 minutes ."
"In 19_0 , the original director 's cut of 204 minutes became available on home media .","In 1990 , the original director 's cut of 204 minutes became available on home media ."
"It broke records [LINE_GAP] in many theatres across India , and ran for more than five years at Mumbai 's Minerva theatre .","It broke records for continuous showings in many theatres across India , and ran for more than five years at Mumbai 's Minerva theatre ."
"By some accounts , Sho_ay is the highest grossing In_ian film of all time , adjusted [WORD_GAP] inflation .","By some accounts , Sholay is the highest grossing Indian film of all time , adjusted for inflation ."
"The film drew heavily f_om the conv_ntions of Westerns , and [WORD_GAP] a defining e_ample of the masala film , which [WORD_GAP] several genres in one [WORD_GAP] .","The film drew heavily from the conventions of Westerns , and is a defining example of the masala film , which mixes several genres in one work ."
"The [LINE_GAP] original soundtrack , scored by R.","The combined sales of the original soundtrack , scored by R."
"Burman [LINE_GAP] the dialogues ( released separately ) , set new sales records .","Burman , and the dialogues ( released separately ) , set new sales records ."
The film 's [WORD_GAP] and certain characters became extremely popular [WORD_GAP] contributing [WORD_GAP] [WORD_GAP] cultural memes and becoming part of [WORD_GAP] 's daily vernacular .,"The film 's dialogues and certain characters became extremely popular , contributing to numerous cultural memes and becoming part of India 's daily vernacular ."
The two thieves thwart the dacoits sent by Gabbar [LINE_GAP] villagers .,The two thieves thwart the dacoits sent by Gabbar to extort the villagers .
"Soon afterwards , Gabbar and his goons attack Ramgarh during the festival of [WORD_GAP] .","Soon afterwards , Gabbar and his goons attack Ramgarh during the festival of Holi ."
"In a [WORD_GAP] battle , Veeru and Jai are cornered .","In a tough battle , Veeru and Jai are cornered ."
"Thakur [WORD_GAP] although he [WORD_GAP] [WORD_GAP] gun [WORD_GAP] [WORD_GAP] reach , does [WORD_GAP] help them .","Thakur , although he has a gun within his reach , does not help them ."
Veeru [WORD_GAP] Jai fight back and the bandits flee .,Veeru and Jai fight back and the bandits flee .
"The two are , howev_r , upset at Thakur 's inaction , [WORD_GAP] [WORD_GAP] [WORD_GAP] the village .","The two are , however , upset at Thakur 's inaction , and consider leaving the village ."
He had concealed the dismemberment by always wearing a sha_l .,He had concealed the dismemberment by always wearing a shawl .
"Living in Ramgarh , [WORD_GAP] jovial [WORD_GAP] and cynical Jai find themselves growing fond of the villagers .","Living in Ramgarh , the jovial Veeru and cynical Jai find themselves growing fond of the villagers ."
"Jai a_tacks the [WORD_GAP] , and the three [WORD_GAP] able to [WORD_GAP] Gabbar 's hideout with dacoits in pursuit .","Jai attacks the gang , and the three are able to flee Gabbar 's hideout with dacoits in pursuit ."
"Fighting [WOR__GAP] [WORD_GAP] [WORD_GAP] rock , Jai [WORD_GAP] Veeru nearly run out of ammunition .","Fighting from behind a rock , Jai and Veeru nearly run out of ammunition ."
"Veeru [WORD_GAP] [WORD_GAP] that Jai was wounded [WORD_GAP] the [WORD_GAP] , is [WORD_GAP] to leave [WORD_GAP] [WORD_GAP] ammunition .","Veeru , unaware that Jai was wounded in the gunfight , is forced to leave for more ammunition ."
"Veeru returns , and Jai dies in his arms [WORD_GAP]","Veeru returns , and Jai dies in his arms ."
"Enraged , Veeru [LINE_GAP] den and catches the dacoit .","Enraged , Veeru attacks Gabbar 's den and catches the dacoit ."
Veeru nearly beats Gabbar to death when Thakur appears and reminds Veeru of the promise to [LINE_GAP] alive .,Veeru nearly beats Gabbar to death when Thakur appears and reminds Veeru of the promise to hand over Gabbar alive .
The po_ice then arrive and arrest Gabbar .,The police then arrive and arrest Gabbar .
"After Jai 's funeral , Veeru leaves [LINE_GAP] waiting for him on the train .","After Jai 's funeral , Veeru leaves Ramgarh and finds Basanti waiting for him on the train ."
Radha is le_t alone again .,Radha is left alone again .
"Sanjeev Kumar as Thakur Baldev Singh , u_ually addressed as "" Tha_ur ""","Sanjeev Kumar as Thakur Baldev Singh , usually addressed as "" Thakur """
[WORD_GAP] Bachchan as Jai ( Jaidev ),Amitabh Bachchan as Jai ( Jaidev )
Amjad Khan as Gabbar [WORD_GAP],Amjad Khan as Gabbar Singh
Satyen [WORD_GAP] as Ramlaal [WORD_GAP] Thakur 's [WORD_GAP],"Satyen Kappu as Ramlaal , Thakur 's servant"
Hangal as Rahim C_acha [WORD_GAP] the imam in the village,"Hangal as Rahim Chacha , the imam in the village"
"Sachin as Ahmed , son [WORD_GAP] the imam","Sachin as Ahmed , son of the imam"
"Jagdeep as Soorma [WORD_GAP] , a comical wood trader","Jagdeep as Soorma Bhopali , a comical wood trader"
"[WORD_GAP] Mishra as [WORD_GAP] , [WORD_GAP] 's maternal aunt","Leela Mishra as Mausi , Basanti 's maternal aunt"
Asra_i as the Jailor [WORD_GA_] a [W_RD_GAP] character [WORD_GAP] after Charlie Chaplin in The Great Dictator ( 1940 ),"Asrani as the Jailor , a comical character modelled after Charlie Chaplin in The Great Dictator ( 1940 )"
"Mac Mohan as Sambha , Gabbar Singh 's [W_RD_GAP]","Mac Mohan as Sambha , Gabbar Singh 's sidekick"
"Viju Khote as Kaalia , another of Gabbar 's men whom he kills in [WORD_GAP] game of Russian roule_te","Viju Khote as Kaalia , another of Gabbar 's men whom he kills in a game of Russian roulette"
Iftekhar as Inspector [LINE_GAP] 's Father,"Iftekhar as Inspector Khurana , Radha 's Father"
"[LINE_GAP] a special appearance in song "" Mehbooba Mehbooba ""","Helen in a special appearance in song "" Mehbooba Mehbooba """
"Jalal Agha in a special appearance in s_ng "" Mehbooba Mehbooba ""","Jalal Agha in a special appearance in song "" Mehbooba Mehbooba """
Ramesh Sippy [WORD_GAP] the concept and hired [WORD_GAP] [WORD_GAP] develop it .,Ramesh Sippy liked the concept and hired them to develop it .
The army officer was later changed to a policeman because Sippy fe_t that it would [WORD_GAP] difficult to get permission to shoot scenes depicting army activities [WORD_GAP],The army officer was later changed to a policeman because Sippy felt that it would be difficult to get permission to shoot scenes depicting army activities .
So_e plot elements were borrowed [WORD_GAP] the Indian fi_ms Mera [WORD_GAP] Mera Desh [WORD_GAP] 1971 ) and Khote [WORD_GAP] ( [_ORD_GAP] [WORD_GAP] .,Some plot elements were borrowed from the Indian films Mera Gaon Mera Desh ( 1971 ) and Khote Sikkay ( 1973 ) .
"[WORD_GAP] [WORD_GAP] captured by the [WORD_GAP] Gabbar Singh had [WORD_GAP] ears and nose cut off , and was released as a [WORD_GAP] to [WORD_GAP] policemen .","Any policeman captured by the real Gabbar Singh had his ears and nose cut off , and was released as a warning to other policemen ."
"Soorma Bhopali , a minor comic relief character , was based on an acquainta_ce of actor Jagdeep , a forest officer from [WORD_GAP] named Soorma .","Soorma Bhopali , a minor comic relief character , was based on an acquaintance of actor Jagdeep , a forest officer from Bhopal named Soorma ."
"The main characters ' names , Jai and Veeru , m_an "" v_ctory "" and "" heroism "" in Hindi .","The main characters ' names , Jai and Veeru , mean "" victory "" and "" heroism "" in Hindi ."
"Amjad Khan , who was the second choice , prepared [LINE_GAP] part by reading the book Abhishapta Chambal , which told of the exploits of Chambal dacoits .","Amjad Khan , who was the second choice , prepared himself for the part by reading the book Abhishapta Chambal , which told of the exploits of Chambal dacoits ."
"The book was written by Taroon Kumar Bhaduri , the father of fellow ca_t member Jaya Bhaduri .","The book was written by Taroon Kumar Bhaduri , the father of fellow cast member Jaya Bhaduri ."
"As cast membe_s had read the s_ript ahead of time , many were interested [WORD_GAP] playing different parts .","As cast members had read the script ahead of time , many were interested in playing different parts ."
"Pran was [WORD_GAP] for the role of Thakur Baldev Singh , but Sippy thought Sanjeev Ku_ar was [WORD_GAP] be_ter choice .","Pran was considered for the role of Thakur Baldev Singh , but Sippy thought Sanjeev Kumar was a better choice ."
"Initially , [WORD_GAP] was also interested to play the [WORD_GAP] of Thakur .","Initially , Dharmendra was also interested to play the role of Thakur ."
[WORD_GAP] knew that Kumar was also interested in Malini .,Dharmendra knew that Kumar was also interested in Malini .
"During the f_lm 's production , four of the leads became romantically involved .","During the film 's production , four of the leads became romantically involved ."
Bachchan married Bhaduri four mo_ths before filming s_arted .,Bachchan married Bhaduri four months before filming started .
This led to shooting delays when Bhaduri became pregnant with [WORD_GAP] daughter Shweta .,This led to shooting delays when Bhaduri became pregnant with their daughter Shweta .
By the t_me of the film 's release [WORD_GAP] she was pregnant [WORD_GAP] their son Abhishek [WORD_GAP],"By the time of the film 's release , she was pregnant with their son Abhishek ."
"Dharmendra had beg_n wooing Malini during their e_rlier film Seeta Aur Geeta ( 1972 ) , and used the l_cation shoot of Sholay to further pursue her .","Dharmendra had begun wooing Malini during their earlier film Seeta Aur Geeta ( 1972 ) , and used the location shoot of Sholay to further pursue her ."
The cou_le married five years after the film 's release .,The couple married five years after the film 's release .
"Much of Sholay was s_ot in the r_cky terrain of Ramanagara , a town n_ar Bangalore , Karnataka .","Much of Sholay was shot in the rocky terrain of Ramanagara , a town near Bangalore , Karnataka ."
[WORD_GAP] filmmakers had to build a [WORD_GAP] from [WORD_GAP] Bangalore highway [WORD_GAP] Ramanagara [WORD_GAP] convenient access to the [WORD_GAP] .,The filmmakers had to build a road from the Bangalore highway to Ramanagara for convenient access to the sets .
Art director Ram Yedekar had an entire township built on the si_e .,Art director Ram Yedekar had an entire township built on the site .
"One part of Ramanagara was for a [LINE_GAP] Sippy Nagar "" as a tribute to the director of the film .","One part of Ramanagara was for a time called "" Sippy Nagar "" as a tribute to the director of the film ."
"As of 2010 , a vis_t to the "" Sholay rocks "" ( where mu_h the film was shot ) was sti_l being offered to tourists travelling through Ramanagara .","As of 2010 , a visit to the "" Sholay rocks "" ( where much the film was shot ) was still being offered to tourists travelling through Ramanagara ."
"Filming beg_n on location on 3 October 1973 , with a scene featuring [WORD_GAP] and Bhaduri .","Filming began on location on 3 October 1973 , with a scene featuring Bachchan and Bhaduri ."
"[WORD_GAP] [WORD_GAP] robbery sequence , shot on the Mumbai – [WORD_GAP] railway r_ute near [WORD_GAP] , took more than 7 [WORD_GAP] to compl_te .","The train robbery sequence , shot on the Mumbai – Pune railway route near Panvel , took more than 7 weeks to complete ."
[WORD_GAP] was the first Indian film to have a stereophonic soundtrack [WORD_GAP] to [WORD_GAP] the 70 [WORD_GAP] widescreen format .,Sholay was the first Indian film to have a stereophonic soundtrack and to use the 70 mm widescreen format .
It was [LINE_GAP],It was definitely a differentiator .
""" The use of 70 mm was emphasised by film posters on which the name of the film [LINE_GAP] to match the CinemaScope logo .",""" The use of 70 mm was emphasised by film posters on which the name of the film was stylised to match the CinemaScope logo ."
"The director 's original cut of Sholay has a differe_t [WORD__AP] [WORD_GAP] [WORD_GAP] Thakur kills [WORD_GAP] , along with so_e additional violent scenes .","The director 's original cut of Sholay has a different ending in which Thakur kills Gabbar , along with some additional violent scenes ."
"The Censor Board was concerned about the violence , and that viewers may be influenced to violate the law by punishing people s_verely .","The Censor Board was concerned about the violence , and that viewers may be influenced to violate the law by punishing people severely ."
The censored theatrical version was the [LINE_GAP] seen by audiences for fifteen years .,The censored theatrical version was the only one seen by audiences for fifteen years .
"[WORD_GAP] original , unedited cut of the film finally [WORD_GAP] out in a British [WORD_GAP] on VHS in 1990 [WORD_GAP]","The original , unedited cut of the film finally came out in a British release on VHS in 1990 ."
"S_nce t_en , Eros International has relea_ed two versions on DVD .","Since then , Eros International has released two versions on DVD ."
The director 's cut of [LINE_GAP] preserves the original full frame and is 204 minutes in length ; the censored widescreen version is 198 minutes long .,The director 's cut of the film preserves the original full frame and is 204 minutes in length ; the censored widescreen version is 198 minutes long .
"Banerjea argues during the film , the moral boundary between legality and criminality grad_ally erodes .","Banerjea argues during the film , the moral boundary between legality and criminality gradually erodes ."
"Film scholar Wimal Dissanayake agrees that the film brought "" a new stage in the evolving dialectic between violence and social order [LINE_GAP] cinema .","Film scholar Wimal Dissanayake agrees that the film brought "" a new stage in the evolving dialectic between violence and social order "" to Indian cinema ."
Madhava Prasad states that Jai and Veeru represent a marg_nalised population that is introduced into conventional society .,Madhava Prasad states that Jai and Veeru represent a marginalised population that is introduced into conventional society .
"Banerjea explains that t_ough Jai and Veeru are mercenaries , t_ey are humanised by their emotional needs .","Banerjea explains that though Jai and Veeru are mercenaries , they are humanised by their emotional needs ."
"Such dualism makes them vu_nerable , in contrast to the pure evil of Gabbar Si_gh .","Such dualism makes them vulnerable , in contrast to the pure evil of Gabbar Singh ."
"Gabbar Singh , the film 's antagonist , was well received by the audience , despite his pervasive sadistic crue_ty .","Gabbar Singh , the film 's antagonist , was well received by the audience , despite his pervasive sadistic cruelty ."
He notes that the picturisation of [WORD_GAP] in the film was glamourised and uninhibited .,He notes that the picturisation of violence in the film was glamourised and uninhibited .
It becomes the battleground [LINE_GAP] compete for supremacy .,It becomes the battleground where good and evil compete for supremacy .
"Taken together , [WORD_GAP] elements [WORD_GAP] the allegorical representation of India .","Taken together , these elements comprise the allegorical representation of India ."
This tension culminated in the Emergency ( ru_e by decree ) declared by prime minister Ind_ra Gandhi in 1975 .,This tension culminated in the Emergency ( rule by decree ) declared by prime minister Indira Gandhi in 1975 .
"[WORD_GAP] and Sahai note that , although the film borrowed heavily [WORD_GAP] the Hollywood [WORD_GAP] genre , [WORD_GAP] in its visuals , it was successfully "" Indianised "" [WORD_GAP]","Dissanayeke and Sahai note that , although the film borrowed heavily from the Hollywood Western genre , particularly in its visuals , it was successfully "" Indianised "" ."
"[WORD_GAP] an example , William van der Heide has [WORD_GAP] a massacre scene in Sholay with a similar scene in Once Upon a Time [WORD_GAP] the [WORD_GAP] [WORD_GAP]","As an example , William van der Heide has compared a massacre scene in Sholay with a similar scene in Once Upon a Time in the West ."
"Although both films were similar in technical style , Sholay emphasised Indian family values and melodramatic [LINE_GAP] the Western was more materialistic and restrained in its approach .","Although both films were similar in technical style , Sholay emphasised Indian family values and melodramatic tradition , while the Western was more materialistic and restrained in its approach ."
"Maithili Rao , in Encyclopedia of Hindi Cinema , notes that Sholay infuses the style of the Western genre into a "" feudalistic ethos "" .","Maithili Rao , in Encyclopedia of Hindi Cinema , notes that Sholay infuses the style of the Western genre into a "" feudalistic ethos "" ."
"[WORD_GAP] Shen of the Chicago [WORD_GAP] notes [WORD_GAP] 's "" [WORD_GAP] visual style "" and intermittent [WORD_GAP] populist message "" .","Ted Shen of the Chicago Reader notes Sholay 's "" hysterical visual style "" and intermittent "" populist message "" ."
[WORD_GAP] scholars have indi_ated that Sholay contains homosocial themes .,Some scholars have indicated that Sholay contains homosocial themes .
[WORD_GAP] Sh_n describes the male bonding shown in the film as bordering on camp style .,Ted Shen describes the male bonding shown in the film as bordering on camp style .
"Burman composed the film 's mu_ic , and the [WORD_GAP] were written by Anand Bakshi .","Burman composed the film 's music , and the lyrics were written by Anand Bakshi ."
"The songs used in the fi_m , and released on the original soundtrack are listed below .","The songs used in the film , and released on the original soundtrack are listed below ."
[LINE_GAP] a list of unused tracks and dialogues which were released later on an updated soundtrack .,Following that is a list of unused tracks and dialogues which were released later on an updated soundtrack .
"The song "" Mehbooba Mehbooba "" was sung by its [WORD_GAP] , R.","The song "" Mehbooba Mehbooba "" was sung by its composer , R."
"Burman , [WORD_GAP] received [WORD_GAP] sole Filmfare Award nomination for playback singing for his [WORD_GAP] .","Burman , who received his sole Filmfare Award nomination for playback singing for his effort ."
"The song , which is often featured on Bollywood hit song compilations , samples "" Say You Love Me "" by G_eek singer Demis Roussos .","The song , which is often featured on Bollywood hit song compilations , samples "" Say You Love Me "" by Greek singer Demis Roussos ."
""" [LINE_GAP] been extensively anthologised , remixed , and recreated .",""" Mehbooba Mehbooba "" has been extensively anthologised , remixed , and recreated ."
"It was also remixed and sung by Himesh Reshammiya [LINE_GAP] with Bhosle , in his debut acting film Aap Kaa Surroor ( 2007 ) .","It was also remixed and sung by Himesh Reshammiya , along with Bhosle , in his debut acting film Aap Kaa Surroor ( 2007 ) ."
""" Yeh Dosti "" has been called the ultimate friendship anthem .",""" Yeh Dosti "" has been called the ultimate friendship anthem ."
Several songs from the soundtrack were included in the annual Binaca Geetmala list of top filmi son_s .,Several songs from the soundtrack were included in the annual Binaca Geetmala list of top filmi songs .
""" [LINE_GAP] listed at No.",""" Mehbooba Mehooba "" was listed at No."
"24 on the 1975 list , and at No.","24 on the 1975 list , and at No."
6 on [WORD_GAP] 1976 list .,6 on the 1976 list .
""" Koi Haseena "" was listed at No.",""" Koi Haseena "" was listed at No."
30 [LINE_GAP] No.,"30 in 1975 , and No."
""" Yeh Dosti "" was [WORD_GAP] at No.",""" Yeh Dosti "" was listed at No."
"Despite the soundtrack 's success , at the time , the songs from [LINE_GAP] than the film 's dialogue — a rarity for Bollywood .","Despite the soundtrack 's success , at the time , the songs from Sholay attracted less attention than the film 's dialogue — a rarity for Bollywood ."
The producers we_e thus prompted to release records [WORD_GAP] only [WORD_GAP] .,The producers were thus prompted to release records with only dialogue .
"In a 19_9 pa_er s_bmitted to London 's Sym_osium on Sound in Cinema , film critic Shoma A.","In a 1999 paper submitted to London 's Symposium on Sound in Cinema , film critic Shoma A."
"Chatterji said , "" Sholay offers a model lesson on [WORD_GAP] sound can be used to signify the terror a character evo_es [WORD_GAP]","Chatterji said , "" Sholay offers a model lesson on how sound can be used to signify the terror a character evokes ."
"Sholay was released on 15 [WORD_GAP] 1975 , Indian Independence Day , in Mumbai [WORD_GAP]","Sholay was released on 15 August 1975 , Indian Independence Day , in Mumbai ."
"Due to [WORD_GAP] reviews and a lack of [WORD_GAP] [WORD_GAP] [WORD_GAP] tools , it [WORD_GAP] poor financial returns in its [WORD_GAP] [WORD_GAP] weeks .","Due to lacklustre reviews and a lack of effective visual marketing tools , it saw poor financial returns in its first two weeks ."
"From [LINE_GAP] , however , viewership picked up owing to positive word of mouth .","From the third week , however , viewership picked up owing to positive word of mouth ."
"When [WORD_GAP] picked up , they abandoned this idea .","When business picked up , they abandoned this idea ."
"After being help_d additionally by a soundtrack release containing dialogue snippets , Sholay s_on became an "" overnight sensation "" .","After being helped additionally by a soundtrack release containing dialogue snippets , Sholay soon became an "" overnight sensation "" ."
"The film was then released in other distribution zones [LINE_GAP] , Uttar Pradesh , Bengal , and Hyderabad on 11 October 1975 .","The film was then released in other distribution zones such as Delhi , Uttar Pradesh , Bengal , and Hyderabad on 11 October 1975 ."
"It became the [WORD_GAP] [WORD_GAP] Bollywood film of 1975 , [WORD_GAP] film ranking website Box Office India has given the film [WORD_GAP] verdict [WORD_GAP] "" All Time Blockbuster "" .","It became the highest grossing Bollywood film of 1975 , and film ranking website Box Office India has given the film a verdict of "" All Time Blockbuster "" ."
It was shown [LINE_GAP] Mumbai 's Minerva theatre for over five years .,It was shown continuously at Mumbai 's Minerva theatre for over five years .
Sholay was the Indian film with the longest theatrical run un_il Dilwale Du_hania [WORD_GAP] Jayenge [WORD_GAP] 1995 ) broke its record of 286 weeks in 2001 .,Sholay was the Indian film with the longest theatrical run until Dilwale Dulhania Le Jayenge ( 1995 ) broke its record of 286 weeks in 2001 .
"Exact figures are not available on the budget and box off_ce earnings of Sho_ay , but film trade websites provide estimates of its success .","Exact figures are not available on the budget and box office earnings of Sholay , but film trade websites provide estimates of its success ."
"Those earnings were a record that remained unbroken for nineteen years , which is also the longest amount of time that [LINE_GAP] the record .","Those earnings were a record that remained unbroken for nineteen years , which is also the longest amount of time that a film has held the record ."
I_itial critical reviews of Sho_ay were negative .,Initial critical reviews of Sholay were negative .
"[LINE_GAP] critics , K.L.","Among contemporary critics , K.L."
"Amladi of India Today called the film a [LINE_GAP] and "" a gravely flawed attempt "" .","Amladi of India Today called the film a "" dead ember "" and "" a gravely flawed attempt "" ."
"Filmfare said that the film was an unsuccessful mincing [LINE_GAP] with Indian milieu , making it an "" imitation western — neither here nor there .","Filmfare said that the film was an unsuccessful mincing of Western style with Indian milieu , making it an "" imitation western — neither here nor there ."
Trade journals and columnists [LINE_GAP] a flop .,Trade journals and columnists initially called the film a flop .
In th_ir obituary of the [WORD_GAP] G.P.,In their obituary of the producer G.P.
"Sippy , the New York Times said that Sholay "" revolutionized Hindi filmmaking [LINE_GAP] true professionalism to Indian script writing "" .","Sippy , the New York Times said that Sholay "" revolutionized Hindi filmmaking and brought true professionalism to Indian script writing "" ."
"Sholay was nominated for [LINE_GAP] Awards , but the only winner was M.","Sholay was nominated for nine Filmfare Awards , but the only winner was M."
"Shinde , who won the awa_d for Best Editing .","Shinde , who won the award for Best Editing ."
Sholay received a special award at the 50th Filmfare Awards in 2005 [WORD_GAP] Best Film of 50 Years .,Sholay received a special award at the 50th Filmfare Awards in 2005 : Best Film of 50 Years .
"Sholay has received many "" Best F_lm "" honours .","Sholay has received many "" Best Film "" honours ."
"It was [WORD_GAP] the "" Film of the Millennium "" by BBC [WORD_GAP] [WORD_GAP] 1999 .","It was declared the "" Film of the Millennium "" by BBC India in 1999 ."
"Sholay inspired many films and pastiches , and spawned a subgenre of films , the "" Curry W_stern "" , which is a play on the term Spaghetti Western .","Sholay inspired many films and pastiches , and spawned a subgenre of films , the "" Curry Western "" , which is a play on the term Spaghetti Western ."
"Certain scenes and dialogues from the film e_rned iconic status in India , such as "" Kitne aadmi the "" ( How ma_y men were there ?","Certain scenes and dialogues from the film earned iconic status in India , such as "" Kitne aadmi the "" ( How many men were there ?"
These and other popular dialogu_s entered the people 's daily vernacular .,These and other popular dialogues entered the people 's daily vernacular .
Characters and dialogues from the film continue to [WORD_GAP] referred [WORD_GAP] and parodied in popular culture .,Characters and dialogues from the film continue to be referred to and parodied in popular culture .
India ( 1987 ) and Bhujang ( Amrish Puri ) [WORD_GAP] Tridev ( 1989 ) .,India ( 1987 ) and Bhujang ( Amrish Puri ) of Tridev ( 1989 ) .
"[WORD_GAP] film is often credited with making Amitabh Bachchan a "" superstar [WORD_GAP] , [WORD_GAP] years after he became a star with [WORD_GAP] ( 1973 [WORD_GAP] .","The film is often credited with making Amitabh Bachchan a "" superstar "" , two years after he became a star with Zanjeer ( 1973 ) ."
"Major and minor characters continue [LINE_GAP] in commercials , promos , films and sitcoms .","Major and minor characters continue to be used in commercials , promos , films and sitcoms ."
Amjad Khan a_ted in many villainous rol_s later in his career .,Amjad Khan acted in many villainous roles later in his career .
"He also played Gabb_r Singh again in the 19_1 spoof Ramgarh Ke Sholay , and reprised the role in commercials .","He also played Gabbar Singh again in the 1991 spoof Ramgarh Ke Sholay , and reprised the role in commercials ."
"The British [WORD_GAP] Institute in 2002 wrote that fear of Gabbar Singh "" is still [WORD_GAP] by mothers to put their c_ildren to sleep "" .","The British Film Institute in 2002 wrote that fear of Gabbar Singh "" is still invoked by mothers to put their children to sleep "" ."
"The 20_2 film Gabbar Singh , named after the character , became the highest grossing [WORD_GAP] film up to that point .","The 2012 film Gabbar Singh , named after the character , became the highest grossing Telugu film up to that point ."
"Comedian Jagdeep , who played Soorma Bhopali in the film , [LINE_GAP] Sholay success to create a spinoff .","Comedian Jagdeep , who played Soorma Bhopali in the film , attempted to use his Sholay success to create a spinoff ."
"He directed and played the lead role in [WORD_GAP] 1988 film [WORD_GAP] Bhopali , in [WORD_GAP] Dharmendra and [WORD_GAP] had cameos .","He directed and played the lead role in the 1988 film Soorma Bhopali , in which Dharmendra and Bachchan had cameos ."
